freq;unit;sex;age;citizen;geo\TIME_PERIOD,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
A;PC;F;Y15-74;TOTAL;UK,42.4 b,42.3 ,42.0 b,41.6 b,42.4 ,43.1 ,43.0 ,43.2 ,42.5 ,42.3 ,42.1 ,42.0 ,41.4 ,40.8 ,40.5 
A;PC;M;Y15-74;TOTAL;AT,6.1 b,6.4 ,6.9 b,7.9 ,8.5 ,8.9 ,8.7 ,8.9 ,10.0 ,10.6 ,10.8 ,11.4 ,11.6 ,10.9 ,10.4 
A;PC;M;Y15-74;TOTAL;BE,7.5 b,7.3 ,7.4 ,7.8 ,8.5 ,8.8 ,9.7 b,9.4 ,9.2 ,9.0 ,9.9 ,10.1 ,10.7 b,10.5 ,11.2 
A;PC;M;Y15-74;TOTAL;BG,1.7 b,1.4 ,1.3 ,1.9 b,2.0 ,2.1 b,2.1 b,2.2 ,2.1 ,2.3 ,2.0 ,1.9 ,2.1 ,1.8 ,1.8 
A;PC;M;Y15-74;TOTAL;CY,4.5 b,3.9 ,4.1 ,4.5 ,5.1 b,6.1 ,7.2 ,7.6 ,9.2 ,11.1 ,11.0 ,12.0 ,9.9 ,8.3 ,7.5 
A;PC;M;Y15-74;TOTAL;CZ,2.0 b,2.1 ,2.2 ,2.1 ,2.6 ,2.8 ,2.4 b,2.8 ,3.1 ,3.1 ,3.0 ,3.1 ,3.4 ,3.6 ,3.8 
A;PC;M;Y15-74;TOTAL;DE,7.7 b,9.2 ,9.3 ,9.2 ,9.5 ,9.4 b,10.0 b,10.1 ,10.4 ,10.5 ,10.7 ,10.8 ,11.2 ,11.2 ,11.5 
A;PC;M;Y15-74;TOTAL;DK,12.6 b,13.2 ,13.3 ,13.8 b,14.9 ,14.4 ,14.7 ,15.5 ,15.2 ,15.8 ,16.1 ,16.8 b,16.8 b,15.9 ,16.7 
A;PC;M;Y15-74;TOTAL;EE,5.2 b,4.4 ,4.3 ,4.1 ,7.1 ,7.0 ,5.6 ,5.9 ,6.2 ,6.5 ,6.6 ,7.6 ,6.8 ,8.0 ,8.0 
A;PC;M;Y15-74;TOTAL;EL,2.3 b,2.9 ,2.7 ,2.8 ,3.2 b,3.7 ,4.4 ,4.9 ,5.5 ,6.7 ,6.7 ,7.0 ,6.7 ,6.3 ,6.0 
A;PC;M;Y15-74;TOTAL;ES,4.5 b,4.3 ,4.1 ,4.2 ,4.8 ,5.3 ,5.9 ,6.6 ,7.8 ,7.8 ,7.9 ,7.7 ,7.3 ,6.8 ,6.9 
A;PC;M;Y15-74;TOTAL;FI,9.2 b,9.3 ,9.3 ,8.9 b,9.2 ,10.0 ,10.6 ,10.3 ,10.2 ,10.9 ,11.5 ,11.6 ,11.8 ,11.9 ,12.1 
A;PC;M;Y15-74;TOTAL;FR,5.8 b,5.8 ,5.7 ,5.7 ,6.0 ,6.6 ,6.8 ,6.8 ,7.2 ,7.9 b,8.0 ,8.2 ,8.3 ,8.4 ,8.2 
A;PC;M;Y15-74;TOTAL;HR,7.0 b,7.1 b,5.4 ,5.9 ,6.0 ,6.1 ,6.4 ,5.5 ,5.3 ,4.8 ,5.6 ,5.2 ,4.4 ,4.3 ,3.8 
A;PC;M;Y15-74;TOTAL;HU,2.7 b,2.6 ,2.8 ,3.4 ,3.9 ,4.0 ,4.8 ,4.7 ,4.5 ,4.5 ,4.4 ,3.5 ,3.1 ,3.1 ,3.3 
A;PC;M;Y15-74;TOTAL;IE,: b,6.4 ,7.9 b,8.7 ,11.4 ,12.5 ,13.4 ,14.4 ,14.6 ,14.2 ,13.4 ,13.5 ,11.5 b,11.3 ,10.9 
A;PC;M;Y15-74;TOTAL;IT,4.5 b,4.6 ,4.9 ,5.2 ,5.0 ,5.4 ,5.8 ,7.0 ,7.8 ,8.2 ,8.4 ,8.6 ,8.6 ,8.4 ,8.7 
A;PC;M;Y15-74;TOTAL;LT,5.3 b,8.3 ,7.5 ,4.9 ,6.8 ,6.8 ,7.0 ,7.4 ,6.9 ,6.9 ,5.9 ,5.8 ,6.2 ,5.7 ,5.5 
A;PC;M;Y15-74;TOTAL;LU,2.5 b,2.6 ,2.6 b,2.7 ,5.4 b,3.9 ,4.8 ,5.3 ,5.8 ,5.3 ,6.0 b,6.5 ,6.5 ,6.1 ,6.0 
A;PC;M;Y15-74;TOTAL;LV,6.2 b,4.8 ,4.7 ,4.9 ,7.3 ,8.0 ,7.3 ,7.1 ,6.1 ,5.2 ,4.9 ,6.7 ,5.3 ,5.3 ,6.4 
A;PC;M;Y15-74;TOTAL;MT,4.4 b,4.7 ,4.3 ,4.5 ,5.3 ,5.7 ,6.4 ,6.9 ,7.7 ,8.3 ,7.8 ,7.1 ,7.4 ,7.9 ,7.3 
A;PC;M;Y15-74;TOTAL;NL,22.4 b,22.7 ,23.2 ,23.5 ,24.5 ,25.1 ,25.0 ,26.0 ,27.6 ,27.8 ,28.0 ,27.8 ,28.5 ,29.0 ,29.6 
A;PC;M;Y15-74;TOTAL;PL,7.7 b,6.9 ,6.4 ,5.7 ,5.6 ,5.6 b,5.4 ,5.1 ,5.0 ,5.0 ,4.7 ,4.3 ,4.3 ,4.5 ,4.2 
A;PC;M;Y15-74;TOTAL;PT,6.0 b,6.4 ,6.9 ,6.3 ,6.4 ,7.0 ,9.6 b,11.0 ,10.9 ,10.1 ,9.3 ,8.9 ,8.1 ,7.6 ,7.2 
A;PC;M;Y15-74;TOTAL;RO,10.0 b,9.5 ,9.2 ,9.1 ,9.1 ,10.8 b,9.8 ,9.7 ,9.6 ,9.1 ,9.4 ,8.1 ,7.5 ,7.1 ,6.8 
A;PC;M;Y15-74;TOTAL;SE,11.5 b,11.8 ,11.8 ,13.3 ,14.2 ,14.5 ,14.2 ,14.6 ,14.9 ,15.1 ,15.5 ,15.2 ,15.5 ,15.2 b,15.6 
A;PC;M;Y15-74;TOTAL;SI,7.1 b,6.9 ,7.3 ,6.8 ,8.1 ,8.3 ,7.6 ,6.8 ,7.1 ,7.7 ,7.6 ,6.4 ,7.3 ,6.6 ,5.3 
A;PC;M;Y15-74;TOTAL;SK,1.3 b,1.3 ,1.1 ,1.4 ,2.7 ,2.7 ,2.8 b,2.9 ,3.4 ,3.9 ,4.2 ,4.2 ,4.2 ,3.5 ,3.3 
A;PC;M;Y15-74;TOTAL;UK,10.1 b,10.3 ,10.5 b,11.0 b,11.5 ,12.4 ,12.4 ,13.1 ,13.1 ,12.8 ,12.8 ,13.0 ,12.8 ,12.8 ,12.5 
