LETO,DRZAVA,SPOL,DELEZ
2016,Danska,moški,5.2
2017,Danska,ženske,5.6
2017,Danska,moški,5.1
2018,Danska,ženske,5
2018,Danska,moški,4.5
2019,Danska,ženske,4.9
2019,Danska,moški,4.5
2011,Nemčija,ženske,5.5
2011,Nemčija,moški,6
2012,Nemčija,ženske,5.1
2012,Nemčija,moški,5.6
2013,Nemčija,ženske,4.9
2013,Nemčija,moški,5.5
2014,Nemčija,ženske,4.6
2014,Nemčija,moški,5.3
2015,Nemčija,ženske,4.2
2015,Nemčija,moški,5
2016,Nemčija,ženske,3.7
2016,Nemčija,moški,4.5
2017,Nemčija,ženske,3.2
2017,Nemčija,moški,4.1
2018,Nemčija,ženske,2.9
2018,Nemčija,moški,3.8
2019,Nemčija,ženske,2.7
2019,Nemčija,moški,3.5
2011,Estonija,ženske,11.6
2011,Estonija,moški,12.8
2012,Estonija,ženske,9.1
2012,Estonija,moški,10.7
2013,Estonija,ženske,8.3
2013,Estonija,moški,9
2014,Estonija,ženske,6.9
2014,Estonija,moški,7.7
2015,Estonija,ženske,6
2015,Estonija,moški,6.1
2016,Estonija,ženske,6.2
2016,Estonija,moški,7.3
2017,Estonija,ženske,5.3
2017,Estonija,moški,6.1
2018,Estonija,ženske,5.2
2018,Estonija,moški,5.1
2019,Estonija,ženske,4.9
2019,Estonija,moški,3.9
2011,Irska,ženske,12
2011,Irska,moški,17.3
2012,Irska,ženske,12.1
2012,Irska,moški,17.3
2013,Irska,ženske,11.9
2013,Irska,moški,14.5
2014,Irska,ženske,10.4
2014,Irska,moški,12.4
2015,Irska,ženske,8.6
2015,Irska,moški,10.4
2016,Irska,ženske,7.3
2016,Irska,moški,8.8
2017,Irska,ženske,5.9
2017,Irska,moški,6.9
2018,Irska,ženske,5.2
2018,Irska,moški,5.5
2019,Irska,ženske,4.3
2019,Irska,moški,4.9
2011,Grčija,ženske,21.3
2011,Grčija,moški,15.1
2012,Grčija,ženske,27.9
2012,Grčija,moški,21.5
2013,Grčija,ženske,31.1
2013,Grčija,moški,24.3
2014,Grčija,ženske,30.1
2014,Grčija,moški,23.5
2015,Grčija,ženske,28.9
2015,Grčija,moški,21.7
2016,Grčija,ženske,28.1
2016,Grčija,moški,19.7
2017,Grčija,ženske,26
2017,Grčija,moški,17.8
2018,Grčija,ženske,24.2
2018,Grčija,moški,15.3
2019,Grčija,ženske,21.6
2019,Grčija,moški,13.9
2011,Španija,ženske,21.3
2011,Španija,moški,20.5
2012,Španija,ženske,24.6
2012,Španija,moški,24.1
2013,Španija,ženske,26.2
2013,Španija,moški,25.1
2014,Španija,ženske,25
2014,Španija,moški,23.2
2015,Španija,ženske,23.2
2015,Španija,moški,20.4
2016,Španija,ženske,21.1
2016,Španija,moški,17.8
2017,Španija,ženske,18.8
2017,Španija,moški,15.3
2018,Španija,ženske,16.8
2018,Španija,moški,13.4
2019,Španija,ženske,15.7
2019,Španija,moški,12.1
2011,Francija,ženske,9.2
2011,Francija,moški,8.5
2012,Francija,ženske,9.4
2012,Francija,moški,9.4
2013,Francija,ženske,9.9
2013,Francija,moški,10
2014,Francija,ženske,9.7
2014,Francija,moški,10.2
2015,Francija,ženske,9.6
2015,Francija,moški,10.4
2016,Francija,ženske,9.5
2016,Francija,moški,9.9
2017,Francija,ženske,9.1
2017,Francija,moški,9.1
2018,Francija,ženske,8.8
2018,Francija,moški,8.7
2019,Francija,ženske,8.1
2019,Francija,moški,8.3
2011,Hrvaška,ženske,13.3
2011,Hrvaška,moški,13.2
2012,Hrvaška,ženske,15.5
2012,Hrvaška,moški,15.4
2013,Hrvaška,ženske,16.1
2013,Hrvaška,moški,17.1
2014,Hrvaška,ženske,17.5
2014,Hrvaška,moški,15.7
2015,Hrvaška,ženske,16.3
2015,Hrvaška,moški,14.9
2016,Hrvaška,ženske,13.2
2016,Hrvaška,moški,11.8
2017,Hrvaška,ženske,11.6
2017,Hrvaška,moški,10
2018,Hrvaška,ženske,9
2018,Hrvaška,moški,7.4
2019,Hrvaška,ženske,6.9
2019,Hrvaška,moški,5.9
2011,Italija,ženske,9.2
2011,Italija,moški,7.3
2012,Italija,ženske,11.5
2012,Italija,moški,9.5
2013,Italija,ženske,12.7
2013,Italija,moški,11.3
2014,Italija,ženske,13.5
2014,Italija,moški,11.7
2015,Italija,ženske,12.4
2015,Italija,moški,11.2
2016,Italija,ženske,12.6
2016,Italija,moški,10.8
2017,Italija,ženske,12.2
2017,Italija,moški,10.2
2018,Italija,ženske,11.6
2018,Italija,moški,9.7
2019,Italija,ženske,11
2019,Italija,moški,9
2011,Ciper,ženske,7.5
2011,Ciper,moški,8.2
2012,Ciper,ženske,11
2012,Ciper,moški,12.5
2013,Ciper,ženske,15.1
2013,Ciper,moški,16.5
2014,Ciper,ženske,14.9
2014,Ciper,moški,17.1
2015,Ciper,ženske,14.6
2015,Ciper,moški,15.2
2016,Ciper,ženske,13.1
2016,Ciper,moški,12.8
2017,Ciper,ženske,11.2
2017,Ciper,moški,11
2018,Ciper,ženske,8.7
2018,Ciper,moški,8.1
2019,Ciper,ženske,7.9
2019,Ciper,moški,6.3
2011,Latvija,ženske,13.7
2011,Latvija,moški,18.5
2012,Latvija,ženske,13.8
2012,Latvija,moški,15.9
2013,Latvija,ženske,11.1
2013,Latvija,moški,12.6
2014,Latvija,ženske,10
2014,Latvija,moški,11.9
2015,Latvija,ženske,8.7
2015,Latvija,moški,11.2
2016,Latvija,ženske,8.6
2016,Latvija,moški,11
2017,Latvija,ženske,7.9
2017,Latvija,moški,9.7
2018,Latvija,ženske,6.6
2018,Latvija,moški,8.5
2019,Latvija,ženske,5.6
2019,Latvija,moški,7.1
2011,Litva,ženske,13
2011,Litva,moški,17.9
2012,Litva,ženske,11.7
2012,Litva,moški,15.3
2013,Litva,ženske,10.6
2013,Litva,moški,13.2
2014,Litva,ženske,9.3
