LETO,DRŽAVA,SPOL,VREDNOST
2013,Italija,moški,7.3
2013,Ciper,moški,8.3
2013,Latvija,moški,5.4
2013,Litva,moški,6.2
2013,Luksemburg,moški,4.7
2013,Madžarska,moški,4.2
2013,Malta,moški,5.6
2013,Nizozemska,moški,22.1
2013,Avstrija,moški,9
2013,Poljska,moški,4.2
2013,Portugalska,moški,8
2013,Romunija,moški,8.4
2013,Slovenija,moški,5.7
2013,Slovaška,moški,3.2
2013,Finska,moški,7.8
2013,Švedska,moški,11.7
2013,Velika Britanija,moški,10.1
2014,Belgija,moški,8.2
2014,Bolgarija,moški,2.2
2014,Češka,moški,2.4
2014,Danska,moški,11.4
2014,Nemčija,moški,8.9
2014,Estonija,moški,5.6
2014,Irska,moški,12.4
2014,Grčija,moški,6.5
2014,Španija,moški,7.5
2014,Francija,moški,7.3
2014,Hrvaška,moški,4
2014,Italija,moški,7.7
2014,Ciper,moški,10.2
2014,Latvija,moški,4.5
2014,Litva,moški,6.3
2014,Luksemburg,moški,4.3
2014,Madžarska,moški,4.1
2014,Malta,moški,6.2
2014,Nizozemska,moški,22.2
2014,Avstrija,moški,9.4
2014,Poljska,moški,4.1
2014,Portugalska,moški,7.5
2014,Romunija,moški,8
2014,Slovenija,moški,6.1
2014,Slovaška,moški,3.7
2014,Finska,moški,8.1
2014,Švedska,moški,11.8
2014,Velika Britanija,moški,9.9
2015,Belgija,moški,9
2015,Bolgarija,moški,1.9
2015,Češka,moški,2.1
2015,Danska,moški,11.6
2015,Nemčija,moški,9
2015,Estonija,moški,5.7
2015,Irska,moški,11.5
2015,Grčija,moški,6.6
2015,Španija,moški,7.6
2015,Francija,moški,7.3
2015,Hrvaška,moški,4.7
2015,Italija,moški,7.9
2015,Ciper,moški,10.2
2015,Latvija,moški,4.3
2015,Litva,moški,5.4
2015,Luksemburg,moški,5.1
2015,Madžarska,moški,4
2015,Malta,moški,5.7
2015,Nizozemska,moški,22.4
2015,Avstrija,moški,9.7
2015,Poljska,moški,3.9
2015,Portugalska,moški,6.9
2015,Romunija,moški,8.2
2015,Slovenija,moški,6.3
2015,Slovaška,moški,3.9
2015,Finska,moški,8.6
2015,Švedska,moški,12.1
2015,Velika Britanija,moški,9.7
2016,Belgija,moški,9.3
2016,Bolgarija,moški,1.7
2016,Češka,moški,2.2
2016,Danska,moški,11.8
2016,Nemčija,moški,9
2016,Estonija,moški,6.4
2016,Irska,moški,11.2
2016,Grčija,moški,6.9
2016,Španija,moški,7.4
